id,category/id,category/name/ca,scope/id,scope/name/ca,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,answer/ca,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
1944,451.0,Fomentar la cura dels espais verds i la flora autòctona,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,"Promoure la flora autòctona, sobretot, aquella que sigui més avinent de cara al canvi climàtic que s’anirà produint. Assessorament per ajudar als part","<p>Promoure la flora autòctona, sobretot, aquella que sigui més avinent de cara al canvi climàtic que s’anirà produint. Assessorament per ajudar als particulars a plantar o mantenir la flora autòctona a les propietats particulars.&nbsp;</p>",accepted,SCG-PROP-2020-06-1944,"<p>Aquesta proposta es pot ajuntar en un únic projecte amb la següent: <a href=""https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1068"" target=""_blank"">Restitució d'espècies arbòries invasores per autòctones</a></p>",0,0,,0,0,4,2020-06-25 08:25:30 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1944,,,False,,
1068,451.0,Fomentar la cura dels espais verds i la flora autòctona,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,Restitució d'espècies arbòries invasores per autòctones,"<p>Treure arbres d'espècies invasores, com ara la falsa acàcia (<em>robinia pseudoacacia</em>), la mimosa comú o l'eucaliptus, i reposar-ne d'autòctones, com ara roure, alzina o pi pinyoner.</p>",accepted,SCG-PROP-2020-05-1068,"<h3>Proposta vàlida. Es pot ajuntar amb la proposta del programa de barri: <a href=""https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1944"" target=""_blank"">Promoure la flora autòctona, sobretot, aquella que sigui més avinent de cara al canvi climàtic que s’anirà produint. Assessorament per ajudar als part</a></h3><p><br></p><p><br></p>",0,0,,0,0,4,2020-05-25 15:14:03 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1068,,,False,,
1943,450.0,Millorar el model de gestió de residus i el sistema de clavegueram,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,En els punts de recollida s'hauria d'informar amb claredat dels dies de recollida de voluminosos i fer una campanya entre veïns per mantenir net el ll,<p>En els punts de recollida s'hauria d'informar amb claredat dels dies de recollida de voluminosos i fer una campanya entre veïns per mantenir net el lloc i no transformar-los en abocadors.</p>,rejected,SCG-PROP-2020-06-1943,<p>Aquesta actuació ja està prevista per part dels serveis municipals.</p>,0,0,,0,0,4,2020-06-25 08:24:54 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1943,,,False,,
1940,449.0,Promoure energies renovables i mesures per a l’eficiència energètica,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,"Promocionar i facilitar que grups de cases es mancomunin amb l’objectiu de compartir recursos d’estalvi energètic i de producció d’energia renovable, ","<p>Promocionar i facilitar que grups de cases es mancomunin amb l’objectiu de compartir recursos d’estalvi energètic i de producció d’energia renovable, especialment fotovoltaica</p>",rejected,SCG-PROP-2020-06-1940,<p>Aquest projecte ja està previst en el Pressupost Municipal. Està prevista la creació d'una comunitat energètica en un barri &nbsp;i la seva posterior implementació (pressupost aproximat de 700.000 euros) .</p>,0,0,,0,0,4,2020-06-25 08:06:45 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1940,,,False,,
1909,437.0,Millorar els equipaments del barri,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,Cuina a l'Espai Jove,<p>Cuina a l'Espai Jove</p>,accepted,SCG-PROP-2020-06-1909,"<p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió del Consell de Barri de debat de les propostes de La Floresta , on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: <a href=""https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264"" target=""_blank"">https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264</a></p><p>T’hi esperem!</p>",0,0,,0,0,4,2020-06-25 07:46:33 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1909,,,False,,
1928,444.0,Reforçar les accions preventives i els protocols d’actuació en situacions d’emergència,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,Mesures antiincendis i cura del bosc,<p>Mesures antiincendis i cura del bosc</p>,rejected,SCG-PROP-2020-06-1928,"<p><br></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels <a href=""https://decidim.santcugat.cat/processes/Floresta/steps"" target=""_blank"">requisits tècnics</a> de les propostes:</p><p>EXCLOSES. 1. Les propostes que ja tinguin alguna partida pressupostària o estiguin previstosper part del serveis municipals.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes. Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent <a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p><p>En tot cas, t’agraïm el teu interès per millorar el barri!</p>",0,0,,0,0,4,2020-06-25 07:58:29 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1928,,,False,,
1308,437.0,Millorar els equipaments del barri,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,Rehabilitació del centre sanitari,"<p>Intervenció a l'edifici del centre sanitari, el cual es troba en una situació bastant precària. Tot i que possiblement la competència depèn de Salut, a nivell local, com a mínim es podría remodelar per l'exterior i millorar l'espai visual, com per exemple pintar.</p>",accepted,SCG-PROP-2020-06-1308,"<p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió del Consell de Barri de debat de les propostes de La Floresta , on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: <a href=""https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264"" target=""_blank"">https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264</a></p><p>T’hi esperem!</p><p>Aquesta proposta es treballarà conjuntament amb la següent:</p><p><a href=""https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1687"" target=""_blank"">https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1687</a></p>",0,0,,0,0,7,2020-06-09 15:12:52 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1308,,,False,,
1809,438.0,Fomentar la diversitat d’activitats i apostar per ser un barri cultural,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,Programació cultural i oci per infants,"<p>Programar activitats lúdiquesi formatives per a infants del barri a travez del treball en grup, fomentant el reciclatge.</p>",accepted,SCG-PROP-2020-06-1809,"<p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió del Consell de Barri de debat de les propostes de La Floresta, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. </p><p>Et pots inscriure a la sessió en el següent enllaç: <a href=""https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264"" target=""_blank"">https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264</a></p><p>T’hi esperem!</p>",0,0,,0,0,4,2020-06-22 21:04:15 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1809,,,False,,
1911,438.0,Fomentar la diversitat d’activitats i apostar per ser un barri cultural,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,Programació cultural i oci per infants i joves de 10 a 25 anys,<p>Programació cultural i oci per infants i joves de 10 a 25 anys</p>,accepted,SCG-PROP-2020-06-1911,"<p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió del Consell de Barri de debat de les propostes de La Floresta, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. </p><p>T’hi esperem!</p><p><br></p><p>Aquesta proposta es treballarà conjuntament amb la següent:</p><p><a href=""https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1809"" target=""_blank"">https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1809</a></p>",0,0,,0,0,4,2020-06-25 07:48:00 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1911,,,False,,
1558,437.0,Millorar els equipaments del barri,,,145,https://decidim.santcugat.cat/processes/Floresta?participatory_process_slug=Floresta,384,Taules d'escacs a la pça. de l'Estació,"<p>Construir una taula rectangular de 140x70cm o dues de 70x70 amb dos taulers d'escacs dibuixats de 35x35cm i cadires o bancs per deixar fixos al parc de l'Estació, a algún racó amb ombra. Els podria construir en ferro l'escultor Jesús Borra, mantenint l'estètica de l'armari de llibres de la pça. del Poble (antiga Miquel Ros).</p>",accepted,SCG-PROP-2020-06-1558,"<p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió del Consell de Barri de debat de les propostes de La Floresta , on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: <a href=""https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264"" target=""_blank"">https://decidim.santcugat.cat/processes/Floresta/f/393/meetings/264</a></p><p>T’hi esperem!</p><p><br></p>",0,0,,0,0,4,2020-06-19 15:35:21 UTC,https://decidim.santcugat.cat/processes/Floresta/f/384/proposals/1558,,,False,,
