id,category/id,category/name/ca,scope/id,scope/name/ca,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,answer/ca,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
356,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Millorar el parc infantil Ignasi Barraquer (10.000€),"Millorar les instal·lacions del parc infantil Ignasi Barraquer, a Can Cabassa. Incloure nous elements de joc, com algun gronxador i jocs per nadons.",,SCG-PROP-2018-02-356,,56,0,,0,0,16,2018-02-20 08:38:23 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/356,,,False,,
357,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Arranjar un vial per  vianants entre Av. Montserrat Roig i  C. Everest (35.000€),"Arranjar un camí de vianants, creat de forma espontània, a l'avinguda Montserrat Roig, enfront del carrer Everest.  Es tracta de donar forma a pun pas que és utilitzat de forma habitual per les persones que van a peu, ja que escurça el camí fins a l'estació de FGC.",,SCG-PROP-2018-02-357,,56,1,Anna,0,0,18,2018-02-20 08:52:30 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/357,,,False,,
358,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Adaptació del pont de Can Rabella (14.500€),"Ampliar el pas de vianants d'accés al pont, ja que les voreres són molt estretes i amb molta pendent. Aquest pont sobre la via de FGC és un dels dos accessos que té Can Mates amb Mira-sol. És la unió entre dues rotondes i els cotxes estan més pendents del tràfic que dels vianants.  Es proposa aixecar el pas de vianants per reduir la velocitat dels vehicles.",,SCG-PROP-2018-02-358,,111,0,,0,0,17,2018-02-20 09:13:26 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/358,,,False,,
359,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Skate Parc a Mira-sol (25.000€),"Instal·lació d'un Skate parc al barri de Mira-sol, com el que hi ha al parc de la Pollancreda. Aquest queda molt lluny del barri (a 7km)  i hi ha molts nens al barri que es traslladen fins allà cada cap de setmana. ",,SCG-PROP-2018-02-359,,63,0,,0,0,19,2018-02-20 09:18:23 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/359,,,False,,
360,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Pista  esportiva a Can Mates (sector Can Rabella) ,"Pista de bàsquet i futbol a la zona del parc i els horts de Can Mates. Tenir més a prop del barri una instal·lació esportiva, per no haver d'anar en cotxe fins al Casal de Mira-sol o el parc dels tobogans. Permet incentivar l'activitat esportiva del barri de Can Mates Oest.",,SCG-PROP-2018-02-360,,0,0,,0,0,13,2018-02-20 09:26:50 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/360,,,False,,
361,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Renovar l'aire acondicionat del teatre del Casal Mira-sol (35.000€),Disposar d'un sistema de climatització funcional i silenciós per al teatre del Casal de Mira-sol. L'aire acondicionat que hi ha actualment no refreda adequadament i fa un soroll que no permet gaudir dels espectacles.,,SCG-PROP-2018-02-361,,41,1,montse pallas,0,0,19,2018-02-20 09:32:33 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/361,,,False,,
362,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Instal·lar un punt de càrrega per  a vehicles elèctrics (15.000€),Instal·lació d'un punt de càrrega per a vehicles elèctrics a Mira-sol per fomentar l'ús d'aquest tipus de vehicles dins del barri.  Es proposa instal·lar-lo a la zona de l'estació de FGV.,,SCG-PROP-2018-02-362,,58,1,Montserrat Moral Ajado,0,0,17,2018-02-20 09:35:55 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/362,,,False,,
363,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Instal·lació d'un bicibox a l'estació de Mira-sol (12.000€),"Instal·lació de més places de Bicibox al voltant de l'estació de Mira-sol. Actualment només hi ha 7 places i és habitual que no n'hi hagi de lliures. El Bicibox és un sistema d'estacionament segur per a bicicletes, que permet l'emmagatzematge fins a 48 hores.",,SCG-PROP-2018-02-363,,70,1,Roger Bosch Unamuno,0,0,15,2018-02-20 09:40:25 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/363,,,False,,
364,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Camí escolar segur Escola Ciutat d'Alba (35.000€),"Crear un camí escolar segur on puguin conviure vinanants i bicicletes per connectar l'escola amb Mira-sol Centre (biblioteca, estació i mercat). L'objectiu és millorar l'accés de les famílies a l'escola, amb una vies pacificades i segures,  i potenciar l'ús de la bicicleta.",,SCG-PROP-2018-02-364,,52,0,,0,0,18,2018-02-20 09:48:25 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/364,,,False,,
365,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Instal·lació de bancs a l'entrada de les escoles del barri (5.100€),Posar més bancs o elements per seure a l'entrada de les escoles de Mira-sol. Actualment les escoles no tenen prou bancs  ni espais on estar per poder berenar a la sortida.,,SCG-PROP-2018-02-365,,79,0,,0,0,14,2018-02-20 09:54:07 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/365,,,False,,
366,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Instal·lació de taules de ping-pong a l'espai públic (6.000€),Instal·lar dues taules de ping-pong a zones concorregudes de Mira-sol per poder gaudir de les hores de lleure i fomentar l'esport.,,SCG-PROP-2018-02-366,,69,0,,0,0,14,2018-02-20 09:56:34 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/366,,,False,,
367,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Parc infantil a l'entorn de l'Escola Catalunya (10.000€),"Construir un parc infantil més actual i  amb més elements de joc (escales, xarxes, etc) a l'entorn de l'Escola Catalunya.  El parc del Casal de Mira-sol queda petit i els nens i nenes juguen a la zona dels avis, ocasionant algunes molèsties. Hi ha un parc petit al costat de la riera però està dissenyat per grans i no té ombres.",,SCG-PROP-2018-02-367,,131,0,,0,0,18,2018-02-20 10:10:30 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/367,,,False,,
368,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Tendals naturals o artificials per fer ombra a les zones de joc infantil (5000€),"Posar tendals naturals o artificials per les zones infantils que ho necessiten, incloses les noves àrees amb elements gimnàstics. Es poden plantar arbres que facin ombra. L'objectiu és poder gaudir d'aquests espais lúdics quan faci calor o molt de sol. ",,SCG-PROP-2018-02-368,,162,0,,0,0,20,2018-02-20 10:17:21 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/368,,,False,,
369,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Projecte educatiu sobre el camí escolar a l'Escola Catalunya (6.000€),"Fer un projecte de cami escolar, en el sentit educatiu, per als vianants i conductors.
Crear un espai d'aprenentatge al voltant de l'escola.",,SCG-PROP-2018-02-369,,84,0,,0,0,16,2018-02-20 10:21:01 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/369,,,False,,
370,,,,,16,https://decidim.santcugat.cat/processes/consellbarrimirasol?participatory_process_slug=consellbarrimirasol,70,Pista esportiva a Can Mates Oest (24.000€),"Pista de bàsquet i futbol a la zona del parc i els horts de Can Mates, a la vora de la masia de Can Rabella. Tenir una instal·lació esportiva més propera al barri per incentivar l'esport i evitar haver de desplaçar-se fins el Casal de Mira-sol o el parc dels tobogans. ",,SCG-PROP-2018-02-370,,117,1,Xavier Bonet,0,0,24,2018-02-20 11:03:12 UTC,https://decidim.santcugat.cat/processes/consellbarrimirasol/f/70/proposals/370,,,False,,
