id,category/id,category/name/ca,category/name/es,scope/id,scope/name/ca,scope/name/es,participatory_space/id,participatory_space/url,component/id,title/ca,body/ca,state,reference,answer/ca,answer/es,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
88,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,36. ESPAI DE LLEURE I SOCIALITZACIÓ PER A GOSSOS A LA GELTRÚ,"Nom Cognoms: Demelsa González
Descripció: Els veïns de la Geltrú i voltants ens reunim amb els nostres gossos cada dia a les places del barri per fomentar el seu esbarjo i socialització.

Aquesta reunió espontània s'ha convertit en un hàbit i, tot i que molts hem aconseguit educar-los perquè obeeixin les ordres, cada dia els exposem al perill de les carreteres confrontants.

A més, aquestes reunions disgusten a alguns veïns, que preferirien que els gossos juguessin en un altre lloc.

Per tot això, demanem que l'ajuntament condicioni una zona a la Geltrú pels cans.

Coneixem de l'existència d’altres zones habilitades per a aquesta finalitat a Vilanova. El problema és que estan massa lluny del nostre barri. Tal com reconeix aquest Ajuntament, els gossos s'han de socialitzar per evitar conductes indesitjables*. Aquesta socialització ha de dur-se amb freqüència, el que resulta impossible si el trajecte fins a la zona habilitada ens ocupa pràcticament tot el temps disponible per passejar-les.

L'espai més adequat es troba entre els carrers de la Indústria, Josep Maria Bultó i Sebastià Gumà. Té 1.500 metres quadrats i un perímetre de 215 metres. Està relativament a prop de qualsevol punt del barri i allunyat de qualsevol habitatge.

El pressupost necessari és 22.000 € distribuïts de la següent manera (IVA no inclòs):

ELEMENTS BÀSICS
- 12.685 €	215m de tanca verd.
- 523,50 € 	Una font per nosaltres i per als gossos.
- 1.406 €	Cinc bancs de fusta.
- 600 €		Cinc papeleres de fusta.
- 1.250 €	Cinc arbres Ficus.
- 252 €		Dos parkings de gossos.
- 822 €		Dos expenedor de bosses.
- 292 €		Dos panells informatius.

CIRCUIT AGILITY:
- 307 €		Balancí
- 1.087€	Túnel
- 749 €		Estacada
- 232 €		Roda
- 225 €		Salt Alçada
- 217 €		Taula expositor
- 1.151 €	Pasarel·la
- 186 €		Slalom

*Butlletí Oficial de la Província de Barcelona, Text Refós Ordenança Municipal Tinença d’Animals (dijous, 28 de maig de 2015), Article 21.



",accepted,VG-PROP-2017-04-88,,,0,2,"carles ivern ruiz, teresa albareda estape",0,0,0,2017-05-22 09:20:03 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/88,,,False,,
31,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,104. Asfaltado,"Nom Cognoms: Rocío Carmona 
Descripció: Propongo  que se haga transitable, para peatones y bicicletas (patines, patinetes, etc) , el tramo de la Ronde Ibérica, entre la C/ Dr. Zamenhof y C/ de Bailén, que es de tierra, ya sea asfaltándolo o embaldosándolo.
En uno de los lados ni siquiera hay arcén y en el otro, uno de los laterales del Parc de la Quadra d’Enveja, es bastante difícil de transitar, sobre todo los días de lluvia o los posteriores a ella en que todo queda embarrado, aparte de los agujeros del suelo, que pueden favorecer caídas.
Es un tramo con ambos lados intransitables.
",accepted,VG-PROP-2017-04-31,,,0,0,,0,0,0,2017-05-22 09:01:02 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/31,,,False,,
32,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,105. Campo de futbol,"Nom Cognoms: Rocío Carmona 
Descripció: Propongo que se haga otro campo de futbol en el Parc de la Quadra d'Enveja.
Es una instalación por la que paso cada día y siempre está en uso, a todas horas.; está muy bien aprovechada.
Si hubiera otro  también se aprovecharía, ya que está muy solicitado, y una forma de entretenimiento para jóvenes, a los que pocos recursos se le dedican en VNG
",accepted,VG-PROP-2017-04-32,,,0,0,,0,0,0,2017-05-22 09:25:33 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/32,,,False,,
77,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,128. Que compleixin la normativa vigent ,"Nom Cognoms: ROSA MASPONS 
Descripcio: QUE ELS ESTABLIMENT PUGUIN SER ACCESIBLES A TOTHOM DESDE L'ENTRADA DEL MATEIX ESTABLEMENT. 
QUANT ES DONA LA LLICENIA D'OBERTURA ES QUE L'ESTABLIMENT COMPLEIX EL REGLAMENT I NO SE PERQUE MOLTES VAGADES NO ES AIXI.
PETITES ESGRAONS A LES ESTRADES, RAMPES IMPOSSIBLE DE PUJAR I BAIXAR FINS I TOT ANAN A PEU... 
LA MEVA PROPOSTA ES QUE ES COMPLEIXI LA LLEI PER PART DE L'AJUNTAMENT O ELS SEUS TECNICS QUE SON ELS QUE DONEN EL VIST I BLAU.
GRACIES

",rejected,VG-PROP-2017-04-77,"<p>No és una inversió relacionada amb l'espai públic i/o la millora dels equipaments municipals. </p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,0,2017-05-22 14:44:30 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/77,,,False,,
78,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,129. Senyalització viaria pas per als vianants ,"Nom Cognoms: Manuel Cano 
Descripcio   (/Eduard Toldrá/Joan Ricart)

Pas vianants en ser un accés molt concorregut als      serveis nous que s´han acomodant a la zona(Cap.Garraf,Universitat,Comerços,etc.)

Estimación del pressupost: 1.227,00 €.
",accepted,VG-PROP-2017-04-78,,,0,0,,0,0,0,2017-05-22 09:35:42 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/78,,,False,,
246,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,229. Arreglar l'enrajolat dels Jardins de Francesc Macià,"Nom Cognoms: Manel Abalo
Entitat: AV Sant Joan
Descripcio: La plaça dels Jardins de Francesc Macià està molt malmesa i he vist persones caure per culpa del terra. Demano que s'arregli l'enrajolat de la plaça.


",accepted,VG-PROP-2017-04-246,,,0,0,,0,0,0,2017-05-22 08:49:17 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/246,,,False,,
270,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,252. Mejorar la seguridad vial en las rotondas ,"Nom Cognoms: Siger Seinen

Descripcio:
Como la propuesta contiene imágenes, se lo envío por correo electrónico con un documento con el nombre: PROPUESTA mejorar seguridad vial rotondas.docx.

Descripción del problema
En Vilanova hay como mínimo unas 16 rotondas. Puede ser que haya más, pero para esta propuesta no importa. La mayoría de estas rotondas consisten de dos carriles. A menudo veo situaciones peligrosas, muchas debidas a una conducta errónea de los conductores. 

La mayoría de los problemas son similares a lo que se muestra en los puntos negros en la imagen.

La rotonda en sí mismo es una buena medida para aumentar la seguridad vial (sobre todo limita la velocidad), pero se podría aumentar aún más la seguridad si se cambia el diseño de las rotondas. 

Propuesta
En varios países en Europa ya se han implementado otro tipo de diseño de las rotondas. Se denominan este tipo de rotondas como “turbo rotondas”. Las grandes ventajas de este tipo de rotondas son las siguientes: 
•	Mayor capacidad para el transito
•	Menos accidentes y por tanto mayor seguridad vial.
•	Inversión pequeña

En países como Alemania, Gran Bretaña y Holanda se pueden encontrar estos tipos de rotondas en gran número. Existen datos de la mejora de la capacidad y la seguridad vial por este tipo de rotondas. La opinión general de los usuarios es que después de un corto tiempo de adaptación, este tipo de rotonda funciona mejor que las antiguas rotondas. 

Al lado se muestra el principio de la turbo rotonda. Los usuarios están guiados por las flechas y, si se respetan las señales, habrá mucho menos puntos críticos en las rotondas.

Cambiar las rotondas
¿Cómo convertir las rotondas actuales? Está claro que se puede rediseñar las rotondas actuales y hacerlo como muestran algunas de las fotos e imágenes. Esto incluye bastantes obras en cada rotonda. Pero estoy convencido de que también se puede cambiarlas simplemente con pintar nuevas líneas en la calzada. Podría ser una solución barata y eficaz. Y para que esto funcione bien en la práctica, sería recomendable acompañar el cambio con una campaña educativa para los usuarios. 

NOTAS IMPORTANTE: 
•	Está claro que cada rotonda es diferente y el diseño final depende mucho del tránsito actual y futuro y el flujo principal y secundario. 
•	Para rotondas que solo tienen un carril circular, este diseño no tiene mucho valor añadido.

Y hay varias películas  (en castellano) en YouTube: 
Turbo rotondas, ¿Cómo funcionan?: https://www.youtube.com/watch?v=e7FMXMTeqG8
El funcionamiento: https://www.youtube.com/watch?v=mppxFuMEErs
Turbo rotonda en Santander: https://www.youtube.com/watch?v=vGSWjPlGQ4Y
Turbo Rotonda: No es difícil, es diferente: https://www.youtube.com/watch?v=1N2VnsU5oW0
En Vigo: https://www.youtube.com/watch?v=eK59Jm8zzXM
Varias turbo rotondas en Asturias: https://www.youtube.com/watch?v=txLW6GKe-Zg
Y buscando en YouTube con “turbo rotondas” se encuentran más. 

Un artículo interesante: http://www.eldiariomontanes.es/santander/201501/21/turbo-rotondas-reduciran-accidentes-20150121075420.html

Realizando esta propuesta podría convertir Vilanova i la Geltrú en un ejemplo para Catalunya en temas de seguridad vial. 
",rejected,VG-PROP-2017-04-270,"<p>Supera els 30000 euros</p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,0,2017-05-23 06:14:41 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/270,,,False,,
278,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,260. Millora del barri de la Collada-Sis Camins ,"Nom Cognoms: Marta Vallcanera 
Descripcio: La situació de voreres al barri de la Collada - Sis Camins és deficient. Hi ha barris en què encara no hi ha cases, però en previsió de la seva urbanització s'ha fet tot de voreres, contenidors de brossa soterrats, carrils bici,..., però al barri de la Collada-Sis Camins, donada l'evolució de les coses, es va fer al revés i això ha dut a tenir una urbanització pitjor.  Encara hi ha zones sense voreres i un carril bici mal fet i en una situació lamentable.
La meva proposta és que es  faci un caqrril bici ampliat i transitable i es facin les zones sense vorera, alhora que s'adaptin les que calgui.
Desconec el pressupost que tindria.
",accepted,VG-PROP-2017-04-278,,,0,0,,0,0,0,2017-05-22 08:49:52 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/278,,,False,,
306,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,288. Canviar els plataners per arbres que no provoquin problemes d'al•lergia ,"Nom Cognoms: Daniel gil 
Descripcio: Actualment Vilanova i la Geltrú té una gran quantitat de plataners que provoquen greus problemes respiratoris i d'al•lergia a molts dels seus ciutadans. la proposta consisteix en eliminar aquests arbres i substituir-los per d'altres que no ocasionin problemes de salut a una part dels veïns.

",rejected,VG-PROP-2017-04-306,"<p>Supera els 30000 euros</p><p>Per a més informació sobre la valoració de les propostes us podeu posar en contacte amb el Departament de Participació a <a href=""mailto:participacio@vilanova.cat"" target=""_blank"">participacio@vilanova.cat</a> o al 938140000 ext 2040</p>",,0,0,,0,0,0,2017-05-22 15:00:14 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/306,,,False,,
325,,,,,,,7,http://participa.vilanova.cat/processes/pressupostosparticipatius2017?participatory_process_slug=pressupostosparticipatius2017,14,307. Ombra a l'escola,"Nom Cognoms: José Andrés Fernández 
Entitat: AMPA Escola Ginesta
Descripcio: Des de l'Escola Ginesta volem proposar la creació de dues zones d'ombra als patis de la mateixa. Les zones afectades per la manca d'espais on refugiar-se del sol, cobreixen una àrea de més de 10.000 metres quadrats i afecta diàriament a mes de 400 nens, sent especialment significatiu en el cas dels alumnes de cicle infantil (uns 150 aproximadament) donada l'edat dels mateixos i la quantitat d'activitats que fan a l'aire lliure.
Per altra banda, l'Escola Ginesta sempre s'ha caracteritzat pel seu tarannà integrador, cooperatiu i participatiu amb la ciutat de Vilanova, com demostra la seva integració al projecte de Pati Obert, on tots els ciutadans poden venir a gaudir de les instal•lacions i se'n beneficiarien d'aquestes zones cobertes.
També s'ha de destacar que tant les festes que es celebren a l'Escola (Castanyada, Carnaval, Sant Jordi en Família, Festa de l'Esport...) són obertes a tota la ciutadania i es celebren íntegrament als patis de la mateixa on s'instal•larien aquests tendals.
De la mateixa manera, les Activitats Extraescolars gestionades per l'AMPA que es duen a terme a les nostres instal•lacions son obertes no només als membres de l'Escola, sinó que hi ha un nombre significatiu de nens que procedeixen d'altres centres i hi participen activament. En aquest sentit, també cal destacar que hi ha altres entitats i clubs esportius de la ciutat que, o bé actualment ja utilitzen els equipaments de l'Escola per a dur a terme els entrenaments dels seus equips de base o bé ens han fet la proposta per al curs vinent.
La necessitat de l'adequació d'aquestes zones també es justifica quan tenim en compte els dos Casals d'Estiu que es duen a terme a l'Escola. Tant el Casal Infantil com el Casal Esportiu estan actius durant cinc setmanes els mesos de Juny i Juliol període durant el qual es fan nombroses activitats a l'aire lliure. Com a totes les activitats que s'han comentat anteriorment, els Casals no només no estan restringits als membres de l'Escola, sinó que es més aviat al contrari i ens esforcem cada any per incorporar nens d'altres escoles i fer créixer el nombre de participants. Com a exemple val a dir que aquests esforços es van traduir en un increment del 50% en el nombre d'assistents pel que fa al curs 2015-2016 i es preveu un creixement important per a aquest any.
Per tant, la instal•lació d’aquestes dues estructures beneficiaria no només als membres de la nostra comunitat educativa, sinó que una bona part dels vilanovins en podrien treure profit de diferents formes. Des de l'Escola i l'AMPA, contemplem la possibilitat de crear aquestes zones amb ombra des de fa alguns anys, però malauradament els pocs recursos econòmics dels que disposem no ens permeten dur aquesta actuació a terme, ja que, segons alguns pressupostos que s'han demanat, la inversió aproximada seria d'uns 25.000 euros.
Esperem que aquesta proposta sigui valorada positivament per la Comissió Tècnica de la Plataforma Participa Vilanova i la Geltrú i per la resta de vilanovins.


",accepted,VG-PROP-2017-04-325,,,0,0,,0,0,0,2017-05-22 10:04:54 UTC,http://participa.vilanova.cat/processes/pressupostosparticipatius2017/f/14/proposals/325,,,False,,
