host,process,step_number,step_dates,step_title,step_description
https://uccle.monopinion.belgium.be,budgetparticipatif2020,1,06/07/2020 - 14/09/2020,Lancement et  Séances d'information,"Cinq séances d’information sur le budget participatif et ses différentes étapes seront organisées à la Maison communale et en ligne.-Le mercredi 8 juillet de 20h à 21h à la salle du Conseil -Le mercredi 15 juillet à 13h en Facebook Live via la page www.facebook.com/uccle1180ukkel-Le mercredi 12 août de 20h à 21h à la salle du Conseil -Le mercredi 9 septembre de 20h à 21h à la salle du Conseil -Le lundi 14 septembre de 13h à 14h en Facebook Live via la page https://www.facebook.com/uccle1180ukkelAttention : inscription obligatoire via l'onglet "" Séances d'information""."
https://uccle.monopinion.belgium.be,budgetparticipatif2020,2,06/07/2020 - 11/10/2020,L'appel à projets,"Inscrivez-vous sur la plateforme et déposez vos propositions de projets ! PROLONGATION DE LA PERIODE DE DEPOT DES PROJETS JUSQU'AU 11 OCTOBRE 2020 !﻿﻿﻿Vous avez une idée d'aménagement ou d'équipement pour améliorer le cadre de vie dans la Commune d'Uccle? Vous souhaitez rendre la vie plus agréable dans votre quartier ou pour l'ensemble de la commune. Vous en discutez avec vos voisins, avec le comité de quartier, au sein de votre association et vous réfléchissez ensemble à un projet qui vous motive. Vous devez vérifier dans le règlement que cette idée répond bien aux critères du budget participatif.  En premier lieu, vous vous assurez que votre idée de projet concerne une compétence communale (et non régionale ou fédérale). Espace public, mobilité, propreté, espaces verts, jeunesse,.... tout ce qui fait notre quotidien entre dans le champ de propositions. Essayez d'estimer également le coût du projet, la fourchette est large : entre 1000 et  50 000 euros!Une fois que votre projet est bien ficelé, vous pouvez le proposer sur la plateforme dans l'onglet "" Propositions de projets"". Rappel : pour être recevable, une idée doit être déposée par un groupement composé de minimum 5 Ucclois(es) âgé(e)s de minimum 16 ans. Pour introduire une proposition, suivez les étapes décrites dans l'onglet "" Propositions de projets""."
https://uccle.monopinion.belgium.be,budgetparticipatif2020,3,13/07/2020 - 30/10/2020,Analyse de la recevabilité et de la faisabilité des projets,"Analyse de la recevabilité: Tous les projets déposés sont analysés dans un premier temps par le service de la Participation citoyenne de la Commune afin de vérifier que les critères du budget participatif sont bien respectés. Plus concrètement: nous vérifions tout d'abord si votre projet est recevable.Analyse de la faisabilité: Tous les projets recevables sont ensuite étudiés par les services communaux concernés. Ils vont en analyser la faisabilité technique et réglementaire et estimer également le coût de chaque projet.Pendant cette phase, les porteurs de projets restent mobilisés afin de préciser ou ajuster leur idée avec les services.A la fin de cette analyse, le Collège des Bourgmestre et Échevins est informé de la liste des projets retenus."
https://uccle.monopinion.belgium.be,budgetparticipatif2020,4,12/11/2020 - 13/11/2020,Le Forum des projets : présentation des projets soumis au vote,"Le jeudi 12 novembre 2020 à 20h dans la salle du Conseil communal, la Commune d'Uccle organise le "" Forum des projets "".  Pendant cette soirée conviviale et informative, les porteurs des projets retenus pourront présenter aux Ucclois(e)s leur projet. A eux de vous convaincre!"
https://uccle.monopinion.belgium.be,budgetparticipatif2020,5,31/10/2020 - 29/11/2020,Le vote des projets,"Les projets jugés recevables et faisables tant au niveau technique, financier que réglementaire par les services seront présentés à la population uccloise. La consultation sera ouverte pendant une durée d’un mois. Le vote est accessible à tous les Ucclois(e)s âgés d’au moins 16 ans. Vous avez la possibilité de voter pour deux projets favoris."
https://uccle.monopinion.belgium.be,budgetparticipatif2020,6,30/11/2020 - 11/01/2021,Résultats,Les projets qui auront recueilli le plus de voix (dans la limite des 50.000 euros) seront désignés lauréats après approbation en Conseil communal.Les résultats seront annoncés le 11 janvier 2021 lors d'une soirée de présentation dans la salle du Conseil de la Maison communale et sur la plateforme.
https://uccle.monopinion.belgium.be,budgetparticipatif2020,7,11/01/2021 - 11/01/2023,Suivi et réalisation des projets lauréats,La Commune d'Uccle met en oeuvre les projets endéans les 24 mois. Les citoyen(e)s seront informés de chaque nouvelle réalisation mise en œuvre grâce au budget participatif!
https://wb1170.monopinion.belgium.be,budget,1,14/12/2019 - 15/12/2019,Lancement du budget participatif WB 2020,"Pour cette première année du Budget participatif à Watermael-Boistfort, les habitant-e-s vont pouvoir proposer, co-construire et voter pour des projets dans leur commune!Rendez-vous le 14 décembre pour proposer vos idées."
https://wb1170.monopinion.belgium.be,budget,2,20/01/2020 - 06/02/2020,Rencontres de quartiers,"Trois réunions « marché aux idées » dans les quartiers. Ce sera l'occasion d'affiner les premières idées de projets, que ce soit pour les « projets phare » ou les « projets coups de pouce ». > Lundi 20/01 : 18h> 21h@ école La Sapinière> Samedi 25/01 : 15> 18h @ école Karrenberg> Jeudi 6/02: 19h30> 22h @ Gare de Watermael"
https://wb1170.monopinion.belgium.be,budget,3,15/12/2019 - 29/02/2020,Déposez vos idées de projets,Inscrivez-vous et proposez vos idées de projets !
